rosetta_device_id	name	category	discontinued	device_id	product_name	product_code	architecture	cpu	source_hardware_slug	source_www_code	specs_json	alias_count
hw-chateau-5g-ax	Chateau 5G ax	LTE products	1						chateau-5g-ax	chateau_5g_ax	{"Product code":"S53UG+M-5HaxD2HaxD-TC&RG502Q-EA","Suggested price":"$595.00","Architecture":"ARM 64bit","CPU":"IPQ-6010","CPU core count":"4","CPU nominal frequency":"auto (864-1800) MHz","CPU Threads count":"4","Switch chip model":"IPQ-6010","Dimensions":"240 x 156 x 44 mm","RouterOS license":"4","Operating System":"RouterOS v7","Size of RAM":"1 GB","Storage size":"128 MB","Storage type":"NAND","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"1 (DC jack)","DC jack input Voltage":"12-28 V","Max power consumption":"19 W","Max power consumption without attachments":"16 W","Cooling type":"Passive","3G Category":"R8 (42.2Mbps Downlink, 5.76Mbps Uplink)","3G bands":"1 (2100MHz) 3 (1800MHz) 5 (850MHz) 6 (850 MHz) 8 (900MHz) 19 (800 MHz)","LTE Category":"20 (2.0 Gbps Downlink, 200 Mbps Uplink)","MIMO DL":"4x4","MIMO UL":"1x1","LTE FDD bands":"1 (2100MHz) 3 (1800MHz) 5 (850MHz) 7 (2600MHz) 8 (900 MHz) 18 (800 MHz) 19 (800 MHz) 20 (800MHz) 26 (850MHz) 28 (700MHz) 32 (1500 MHz)","LTE TDD bands":"34 (2000 MHz) 38 (2600MHz) 39 (1900MHz) 40 (2300MHz) 41 (2500MHz) 42 (3500MHz) 43 (3700MHz)","5G NSA FDD bands":"1 (2100 MHz) 3 (1800 MHz) 5 (850 MHz) 7 (2600 MHz) 8 (900 MHz) 20 (800 MHz) 28 (700 MHz)","5G NSA TDD bands":"38 (2600 MHz) 40 (2300 MHz) 41 (2500 MHz) 77 (3700 MHz) 78 (3500 MHz) 79 (4700 MHz)","5G SA FDD bands":"1 (2100 MHz) 3 (1800 MHz) 5 (850 MHz) 7 (2600 MHz) 8 (900 MHz) 20 (800 MHz) 28 (700 MHz)","5G SA TDD bands":"38 (2600 MHz) 40 (2300 MHz) 41 (2500 MHz) 77 (3700 MHz) 78 (3500 MHz) 79 (4700 MHz)","TAC":"86073604","Wireless 2.4 GHz Max data rate":"574 Mbit/s","Wireless 2.4 GHz Number of chains":"2","Wireless 2.4 GHz standards":"802.11b/g/n/ax","Antenna gain dBi for 2.4 GHz":"3","Wireless 2.4 GHz chip model":"QCN-5022","Wireless 2.4 GHz generation":"Wi-Fi 6","Wireless 5 GHz Max data rate":"1200 Mbit/s","Wireless 5 GHz Number of chains":"2","Wireless 5 GHz standards":"802.11a/n/ac/ax","Antenna gain dBi for 5 GHz":"6","Wireless 5 GHz chip model":"QCN-5052","Wireless 5 GHz generation":"Wi-Fi 6","10/100/1000 Ethernet ports":"4","Number of 2.5G Ethernet ports":"1","Number of SIM slots":"1 Modem (Micro SIM)","Number of USB ports":"1","USB Power Reset":"Yes","USB slot type":"USB type A","Max USB current (A)":"1","Number of M.2 slots":"1","PCB temperature monitor":"Yes","Voltage Monitor":"Yes","Mode button":"Yes","Certification":"CE, EAC, ROHS","IP":"20","_www_title":"Chateau 5G ax","_www_tagline":"Mobile internet has never been faster! Generation 6 version of Chateau 5G.  Much faster wireless, improved CPU, and now – with 2.5 Gigabit Ethernet!","_hardware_title":"Chateau 5G ax"}	7
hw-chateau-5g-r16	Chateau 5G R16	LTE products	1						chateau-5g-r16	chateau5gr16	{"Product code":"D53G-5HacD2HnD-TC&RG520F-EU","Suggested price":"$485.00","Architecture":"ARM 32bit","CPU":"IPQ-4019","CPU core count":"4","CPU nominal frequency":"448-896 (auto) MHz","CPU Threads count":"4","Switch chip model":"IPQ-4019","Dimensions":"240 x 156 x 44 mm","RouterOS license":"4","Operating System":"RouterOS v7","Size of RAM":"256 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"1 (DC jack)","DC jack input Voltage":"12-28 V","Max power consumption":"25 W","Max power consumption without attachments":"20 W","Cooling type":"Passive","3G Category":"R8 (42.2Mbps Downlink, 5.76Mbps Uplink)","3G bands":"1 (2100MHz) 5 (850MHz) 8 (900MHz)","LTE Category":"20 (2.0 Gbps Downlink, 200 Mbps Uplink)","LTE FDD bands":"1 (2100MHz) 3 (1800MHz) 5 (850MHz) 7 (2600MHz) 8 (900 MHz) 20 (800MHz) 28 (700MHz) 32 (1500 MHz)","LTE TDD bands":"38 (2600MHz) 40 (2300MHz) 41 (2500MHz) 42 (3500MHz) 43 (3700MHz)","5G NSA FDD bands":"1 (2100 MHz) 3 (1800 MHz) 5 (850 MHz) 7 (2600 MHz) 8 (900 MHz) 20 (800 MHz) 28 (700 MHz)","5G NSA TDD bands":"38 (2600 MHz) 40 (2300 MHz) 41 (2500 MHz) 75 (1500 MHz) 76 (1500 MHz) 77 (3700 MHz) 78 (3500 MHz)","5G SA FDD bands":"1 (2100 MHz) 3 (1800 MHz) 5 (850 MHz) 7 (2600 MHz) 8 (900 MHz) 20 (800 MHz) 28 (700 MHz)","5G SA TDD bands":"38 (2600 MHz) 40 (2300 MHz) 41 (2500 MHz) 75 (1500 MHz) 76 (1500 MHz) 77 (3700 MHz) 78 (3500 MHz)","TAC":"86945405","Wireless 2.4 GHz Max data rate":"300 Mbit/s","Wireless 2.4 GHz Number of chains":"2","Wireless 2.4 GHz standards":"802.11a/b/g/n","Antenna gain dBi for 2.4 GHz":"3","Wireless 2.4 GHz chip model":"IPQ-4019","Wireless 2.4 GHz generation":"Wi-Fi 4","Wireless 5 GHz Max data rate":"867 Mbit/s","Wireless 5 GHz Number of chains":"2","Wireless 5 GHz standards":"802.11a/n/ac","Antenna gain dBi for 5 GHz":"5.5","Wireless 5 GHz chip model":"IPQ-4019","Wireless 5 GHz generation":"Wi-Fi 5","10/100/1000 Ethernet ports":"5","Number of SIM slots":"1 Modem (Micro SIM)","Number of USB ports":"1","USB Power Reset":"Yes","USB slot type":"USB type A","Max USB current (A)":"1","Number of M.2 slots":"1","Mode button":"Yes","Certification":"CE, EAC, ROHS","IP":"20","_www_title":"Chateau 5G R16","_www_tagline":"Ultra-fast 5G mobile internet for every home or \r\noffice – speeds go up, price goes down! Perfect for secure remote work VPNs anytime, anyplace!","_hardware_title":"Chateau 5G R16"}	4
hw-chateau-lte12	Chateau LTE12	LTE products	1						chateau-lte12	chateau_lte12	{"Product code":"RBD53G-5HacD2HnD-TC&EG12-EA","Suggested price":"$229.00","Architecture":"ARM 32bit","CPU":"IPQ-4019","CPU core count":"4","CPU nominal frequency":"448-896 (auto) MHz","CPU Threads count":"4","Switch chip model":"IPQ-4019","Dimensions":"240 x 156 x 44 mm","RouterOS license":"4","Operating System":"RouterOS v7","Size of RAM":"256 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"1 (DC jack)","DC jack input Voltage":"12-28 V","Max power consumption":"23 W","Max power consumption without attachments":"17 W","Cooling type":"Passive","3G Category":"R8 (42.2Mbps Downlink, 11.2Mbps Uplink)","3G bands":"1 (2100MHz) 3 (1800MHz) 5 (850MHz) 8 (900MHz)","LTE Category":"12 (600Mbps Downlink, 150Mbps Uplink)","LTE FDD bands":"1 (2100MHz) 3 (1800MHz) 5 (850MHz) 7 (2600MHz) 8 (900 MHz) 20 (800MHz) 28 (700MHz)","LTE TDD bands":"38 (2600MHz) 40 (2300MHz) 41 (2500MHz)","TAC":"86056104","Wireless 2.4 GHz Max data rate":"300 Mbit/s","Wireless 2.4 GHz Number of chains":"2","Wireless 2.4 GHz standards":"802.11b/g/n","Antenna gain dBi for 2.4 GHz":"3","Wireless 2.4 GHz chip model":"IPQ-4019","Wireless 2.4 GHz generation":"Wi-Fi 4","Wireless 5 GHz Max data rate":"867 Mbit/s","Wireless 5 GHz Number of chains":"2","Wireless 5 GHz standards":"802.11a/n/ac","Antenna gain dBi for 5 GHz":"4","Wireless 5 GHz chip model":"IPQ-4019","Wireless 5 GHz generation":"Wi-Fi 5","10/100/1000 Ethernet ports":"5","Number of SIM slots":"1 Modem (Micro SIM)","Number of USB ports":"1","USB Power Reset":"Yes","USB slot type":"USB type A","Max USB current (A)":"1","Mode button":"Yes","Certification":"CE, EAC, ROHS","IP":"IP20","_www_title":"Chateau LTE12","_www_tagline":"One router to delight them all – introducing the ultimate home AP with LTE support","_hardware_title":"Chateau LTE12"}	7
hw-chateau-lte6	Chateau LTE6	LTE products	1						chateau-lte6	chateau_lte6	{"Product code":"D53G-5HacD2HnD-TC&FG621-EA","Suggested price":"$149.00","Architecture":"ARM 32bit","CPU":"IPQ-4019","CPU core count":"4","CPU nominal frequency":"448-896 (auto) MHz","CPU Threads count":"4","Switch chip model":"IPQ-4019","RouterOS license":"4","Operating System":"RouterOS v7","Size of RAM":"256 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Wireless 2.4 GHz Max data rate":"300 Mbit/s","Wireless 2.4 GHz Number of chains":"2","Wireless 2.4 GHz standards":"802.11b/g/n","Antenna gain dBi for 2.4 GHz":"2","Wireless 2.4 GHz chip model":"IPQ-4019","Wireless 2.4 GHz generation":"Wi-Fi 4","Wireless 5 GHz Max data rate":"867 Mbit/s","Wireless 5 GHz Number of chains":"2","Wireless 5 GHz standards":"802.11a/n/ac","Antenna gain dBi for 5 GHz":"4","Wireless 5 GHz chip model":"IPQ-4019","Wireless 5 GHz generation":"Wi-Fi 5","WiFi speed":"AC1200","3G Category":"R8 (42.2Mbps Downlink, 11.2Mbps Uplink)","3G bands":"1 (2100MHz) 3 (1800MHz) 5 (850MHz) 8 (900MHz)","LTE Category":"6 (300Mbit/s Downlink, 50Mbit/s Uplink)","MIMO DL":"2x2","LTE FDD bands":"1 (2100MHz) 3 (1800MHz) 5 (850MHz) 7 (2600MHz) 8 (900 MHz) 20 (800MHz) 28 (700MHz)","LTE TDD bands":"38 (2600MHz) 40 (2300MHz) 41 (2500MHz)","TAC":"86335904","10/100/1000 Ethernet ports":"5","Number of SIM slots":"1 Modem (Micro SIM)","Number of USB ports":"1","USB Power Reset":"Yes","USB slot type":"USB type A","Max USB current (A)":"1","Number of DC inputs":"1 (DC jack)","DC jack input Voltage":"12-28 V","Max power consumption":"21 W","Max power consumption without attachments":"15 W","Cooling type":"Passive","Certification":"CE, EAC, ROHS","IP":"20","Mode button":"Yes","_www_title":"Chateau LTE6","_www_tagline":"Your best friend when it comes to affordable mobile networks. \r\nAmazing in the hands of seasoned system administrators. Or in a household with zero IT skills. Chateau can do it all. For mobile operators who want the best for their clients without breaking the bank.","_hardware_title":"Chateau LTE6"}	7
hw-chateau-lte6-ax	Chateau LTE6 ax	LTE products	1						chateau-lte6-ax	chateau_lte6_ax	{"Product code":"S53UG+5HaxD2HaxD-TC&FG621-EA","Suggested price":"$199.00","Architecture":"ARM 64bit","CPU":"IPQ-6010","CPU core count":"4","CPU nominal frequency":"auto (864 -1800) MHz","CPU Threads count":"4","Switch chip model":"IPQ-6010","RouterOS license":"4","Operating System":"RouterOS v7","Size of RAM":"1 GB","Storage size":"128 MB","Storage type":"NAND","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"1 (DC jack)","DC jack input Voltage":"12-28 V","Max power consumption":"17 W","Max power consumption without attachments":"13 W","Cooling type":"Passive","3G Category":"R8 (42.2Mbps Downlink, 11.2Mbps Uplink)","3G bands":"1 (2100MHz) 3 (1800MHz) 5 (850MHz) 8 (900MHz)","LTE Category":"6 (300Mbit/s Downlink, 50Mbit/s Uplink)","MIMO DL":"2x2","MIMO UL":"1x1","LTE FDD bands":"1 (2100MHz) 3 (1800MHz) 5 (850MHz) 7 (2600MHz) 8 (900 MHz) 20 (800MHz) 28 (700MHz)","LTE TDD bands":"38 (2600MHz) 40 (2300MHz) 41 (2500MHz)","TAC":"86335904","Wireless 2.4 GHz Max data rate":"574 Mbit/s","Wireless 2.4 GHz Number of chains":"2","Wireless 2.4 GHz standards":"802.11b/g/n/ax","Antenna gain dBi for 2.4 GHz":"2","Wireless 2.4 GHz chip model":"QCN-5022","Wireless 2.4 GHz generation":"Wi-Fi 6","Wireless 5 GHz Max data rate":"1200 Mbit/s","Wireless 5 GHz Number of chains":"2","Wireless 5 GHz standards":"802.11a/n/ac/ax","Antenna gain dBi for 5 GHz":"4","Wireless 5 GHz chip model":"QCN-5052","Wireless 5 GHz generation":"Wi-Fi 6","10/100/1000 Ethernet ports":"4","Number of 2.5G Ethernet ports":"1","Number of SIM slots":"1 Modem (Micro SIM)","Number of USB ports":"1","USB Power Reset":"Yes","USB slot type":"USB type A","Max USB current (A)":"1","PCB temperature monitor":"Yes","Voltage Monitor":"Yes","Mode button":"Yes","Certification":"CE, EAC, ROHS","IP":"20","_www_title":"Chateau LTE6 ax","_www_tagline":"A supercharged Chateau LTE6 access point with even faster wireless and an improved CPU. For mobile network users who need that extra speed and responsiveness of Gen6 ax wireless. Perfect for large, busy households or medium-sized offices.","_hardware_title":"Chateau LTE6 ax"}	5
hw-compliance	Compliance	Wireless systems							compliance		{"_hardware_title":"Compliance"}	1
hw-crs-series	CRS-series	Switches							crs-series		{"_hardware_title":"CRS-series"}	2
hw-crs112-8g-4s-in	CRS112-8G-4S-IN	Switches	1						crs112-8g-4s-in	CRS112-8G-4S-IN	{"Product code":"CRS112-8G-4S-IN","Suggested price":"$153.00","Architecture":"MIPSBE","CPU":"QCA8511","CPU core count":"1","CPU nominal frequency":"400 MHz","Switch chip model":"QCA8511-AL1C","Dimensions":"200x143x44mm","RouterOS license":"5","Operating System":"RouterOS","Size of RAM":"128 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"2 (DC jack, PoE-IN)","DC jack input Voltage":"10-57 V","Max power consumption":"10 W","PoE in":"Passive PoE","Cooling type":"Passive","PoE in input Voltage":"10-57 V","10/100/1000 Ethernet ports":"8","SFP ports":"4","Serial console port":"RJ45","Current Monitor":"Yes","PCB temperature monitor":"Yes","Voltage Monitor":"Yes","Mode button":"Yes","_www_title":"CRS112-8G-4S-IN","_www_tagline":"8x Gigabit Ethernet Smart Switch, 4x SFP cages, 400MHz CPU, 128MB RAM, desktop case, RouterOS L5","_hardware_title":"CRS112-8G-4S-IN"}	2
hw-crs125-24g-1s-series	CRS125-24G-1S-series	Switches							crs125-24g-1s-series		{"_hardware_title":"CRS125-24G-1S-series"}	2
hw-cube-60g-ac	Cube 60G ac	60 GHz products	1						cube-60g-ac	cube_60g_ac	{"Product code":"CubeG-5ac60ad","Suggested price":"$135.00","Architecture":"ARM 32bit","CPU":"IPQ-4019","CPU core count":"4","CPU nominal frequency":"716 MHz","CPU Threads count":"4","Dimensions":"130 x 130 x 132 mm","RouterOS license":"3","Operating System":"RouterOS","Size of RAM":"256 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"1 (PoE-IN)","Max power consumption":"9 W","Max power consumption without attachments":"9 W","PoE in":"802.3af/at","Cooling type":"Passive","PoE in input Voltage":"12-57 V","Wireless 5 GHz Max data rate":"433 Mbit/s","Wireless 5 GHz Number of chains":"1","Wireless 5 GHz standards":"802.11a/n/ac","Antenna gain dBi for 5 GHz":"11.5","Wireless 5 GHz chip model":"IPQ-4019","Wireless 5 GHz generation":"Wi-Fi 5","10/100/1000 Ethernet ports":"1","Certification":"CE, FCC, IC, EAC, ROHS","IP":"IP54","_www_title":"Cube 60G ac","_www_tagline":"A high-speed 60 GHz CPE with Gigabit Ethernet and a 5 GHz failover. The easy and affordable way of eliminating interference and downtime!","_hardware_title":"Cube 60G ac","_fcc_id":["TV7CB5A60"]}	4
hw-cube-lite60	Cube Lite60	60 GHz products	1						cube-lite60	cube_lite60	{"Product code":"RBCube-60ad","Suggested price":"$89.00","Architecture":"MIPSBE","CPU":"QCA9531","CPU core count":"1","CPU nominal frequency":"650 MHz","Dimensions":"130 x 130 x 132 mm","RouterOS license":"3","Operating System":"RouterOS","Size of RAM":"64 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 100'000 hours at 25C","Tested ambient temperature":"-30°C to 70°C","Number of DC inputs":"1 (PoE-IN)","Max power consumption":"5 W","PoE in":"Passive PoE","Cooling type":"Passive","PoE in input Voltage":"12-28 V","10/100 Ethernet ports":"1","Certification":"CE, FCC, IC, EAC, ROHS","IP":"IP54","_www_title":"Cube Lite60","_www_tagline":"The most affordable 60 GHz CPE for crowded wireless spectrum","_hardware_title":"Cube Lite60","_fcc_id":["TV7CUBE60"]}	4
hw-disc-lite5	DISC Lite5	Wireless systems	1						disc-lite5	rbdisc_5nd	{"Product code":"RBDisc-5nD","Suggested price":"$55.00","Architecture":"MIPSBE","CPU":"AR9344","CPU core count":"1","CPU nominal frequency":"600 MHz","Dimensions":"⌀ 265mm, height: 80mm","RouterOS license":"3","Operating System":"RouterOS","Size of RAM":"64 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 100'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"1 (PoE-IN)","Max power consumption":"6 W","PoE in":"Passive PoE","Cooling type":"Passive","PoE in input Voltage":"10-30 V","Wireless 5 GHz Max data rate":"300 Mbit/s","Wireless 5 GHz Number of chains":"2","Wireless 5 GHz standards":"802.11a/n","Antenna gain dBi for 5 GHz":"21","Wireless 5 GHz chip model":"AR9344","Wireless 5 GHz generation":"Wi-Fi 4","10/100 Ethernet ports":"1","Certification":"CE, FCC, IC, EAC, ROHS","IP":"IP54","_www_title":"DISC Lite5","_www_tagline":"Dual chain 21dBi 5GHz CPE/Point-to-Point Integrated Antenna, 600Mhz CPU, 64MB RAM","_hardware_title":"Disc Lite5","_fcc_id":["TV7LHG5NDM","TV7RB922-5HPACTM"]}	5
hw-disc-lite5-ac	DISC Lite5 ac	Wireless systems	1						disc-lite5-ac	disc_lite5_ac	{"Product code":"RBDiscG-5acD","Suggested price":"$79.00","Architecture":"ARM 32bit","CPU":"IPQ-4018","CPU core count":"4","CPU nominal frequency":"716 MHz","CPU Threads count":"4","Dimensions":"⌀ 265mm, height: 80mm","RouterOS license":"3","Operating System":"RouterOS","Size of RAM":"256 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 100'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"1 (PoE-IN)","Max power consumption":"7 W","PoE in":"Passive PoE","Cooling type":"Passive","PoE in input Voltage":"10-30 V","Wireless 5 GHz Max data rate":"867 Mbit/s","Wireless 5 GHz Number of chains":"2","Wireless 5 GHz standards":"802.11a/n/ac","Antenna gain dBi for 5 GHz":"21","Wireless 5 GHz chip model":"IPQ-4018","Wireless 5 GHz generation":"Wi-Fi 5","10/100/1000 Ethernet ports":"1","Certification":"CE, FCC, IC, EAC, ROHS","IP":"IP54","_www_title":"DISC Lite5 ac","_www_tagline":"Outdoor 5GHz 802.11a/n/ac wireless device with a backfire type 21dBi integrated antenna and Gigabit Ethernet for longer distances","_hardware_title":"Disc Lite5 ac","_fcc_id":["TV7LHG5ACD"]}	4
hw-dynadish-5	DynaDish 5	Wireless systems	1						dynadish-5	RBDynaDishG-5HacDr3	{"Product code":"RBDynaDishG-5HacD","Suggested price":"$199.00","Architecture":"MIPSBE","CPU":"QCA9557","CPU core count":"1","CPU nominal frequency":"720 MHz","Dimensions":"Ø 404mm, height 175mm (without mount)","RouterOS license":"3","Operating System":"RouterOS","Size of RAM":"128 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"1 (PoE-IN)","Max power consumption":"9 W","PoE in":"802.3af/at","Cooling type":"Passive","PoE in input Voltage":"11-60 V","Wireless 5 GHz Max data rate":"867 Mbit/s","Wireless 5 GHz Number of chains":"2","Wireless 5 GHz standards":"802.11a/n/ac","Antenna gain dBi for 5 GHz":"25","Wireless 5 GHz chip model":"QCA9892","Wireless 5 GHz generation":"Wi-Fi 5","10/100/1000 Ethernet ports":"1","PCB temperature monitor":"Yes","Voltage Monitor":"Yes","Beeper":"Yes","Certification":"CE, FCC, IC, EAC, ROHS","IP":"IP54","_www_title":"DynaDish 5","_www_tagline":"Dual chain 5GHz 802.11a/n/ac QCA9892, 128MB RAM, 720 MHz CPU, 25dBi antenna gain","_hardware_title":"DynaDish 5"}	6
hw-dynadish-6	DynaDish 6	Wireless systems	1						dynadish-6	dynadish_6	{"Product code":"RBDynaDishG-6HnD","Suggested price":"$179.00","Architecture":"MIPSBE","CPU":"AR9344","CPU core count":"1","CPU nominal frequency":"600 MHz","Dimensions":"Ø 404 mm","RouterOS license":"4","Operating System":"RouterOS","Size of RAM":"64 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 200'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"1 (PoE-IN)","Max power consumption":"10 W","PoE in":"Passive PoE","Cooling type":"Passive","PoE in input Voltage":"12-30 V","Wireless 6 GHz Max data rate":"300 Mbit/s","Wireless 6 GHz Number of chains":"2","Wireless 6 GHz standards":"802.11a/n","Antenna gain dBi for 6 GHz":"25","Wireless 6 GHz chip model":"AR9344","Wireless 6 GHz generation":"Wi-Fi 4","10/100/1000 Ethernet ports":"1","PCB temperature monitor":"Yes","Voltage Monitor":"Yes","Beeper":"Yes","Certification":"EAC","IP":"IP33","_www_title":"DynaDish 6","_www_tagline":"Dual chain 25dBi Long Range 5.9-6.4GHz Integrated antenna for licensed band","_hardware_title":"DynaDish 6"}	5
hw-fiberbox	FiberBox	Switches	1						fiberbox	fiberbox	{"Product code":"CRS105-5S-FB","Suggested price":"$79.00","Architecture":"MIPSBE","CPU":"QCA8511","CPU core count":"1","CPU nominal frequency":"400 MHz","Switch chip model":"QCA8511","Dimensions":"125 x 178 x 48 mm","RouterOS license":"5","Operating System":"RouterOS","Size of RAM":"128 MB","Storage size":"16 MB","Storage type":"FLASH","MTBF":"Approximately 100'000 hours at 25C","Tested ambient temperature":"-20°C to 70°C","Number of DC inputs":"1 (DC jack)","DC jack input Voltage":"9-30 V","Max power consumption":"11 W","Cooling type":"Passive","SFP ports":"5","Mode button":"Yes","Certification":"CE, EAC, ROHS","_www_title":"FiberBox","_www_tagline":"An outdoor switch with five SFP ports","_hardware_title":"FiberBox"}	3
hw-ftc21	FTC21	Accessories	0						ftc21	ftc21	{"Product code":"FTC21","Suggested price":"$59.00","Switch chip model":"88E6341","MTBF":"Approximately 100'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"2 (DC jack, PoE-IN)","DC jack input Voltage":"24-57 V","Max power consumption":"4 W","Max power consumption without attachments":"3 W","PoE in":"802.3af/at","Cooling type":"Passive","PoE in input Voltage":"24-57 V","10/100/1000 Ethernet ports":"2","SFP ports":"1 (2.5G supported)","Certification":"CE, EAC, ROHS","IP":"55","_www_title":"FTC21","_www_tagline":"A weatherproof IP55 Fiber-to-Copper converter with smart management capabilities for your fiber and Ethernet setups.","_hardware_title":"FTC21"}	1
hw-g1040a-60wn	G1040A-60WF	Accessories	0						g1040a-60wn	g1040a_60wf	{"Product code":"G1040A-60WF","Suggested price":"$49.00","Input voltage":"100-240 V 1.5 A MAX","Output Voltage":"12 V - 5 A (total DC output: 60W)","_www_title":"G1040A-60WF","_www_tagline":"Hot-swap  power  supply: replace the CCR2004, CRS510 or CRS504 power supply without having to turn off or even restart the router. Zero downtime!","_hardware_title":"G1040A-60WN"}	5
hw-gesp-plus-poe-in	GESP+POE-IN	Accessories	0						gesp-plus-poe-in	gesp_poe_in	{"Product code":"GESP+POE-IN","Suggested price":"$12.00","_www_title":"GESP+POE-IN","_www_tagline":"GESP+PoE is a passive PoE injector with surge protection. Combine it with the GESP devices for maximum security and peace of mind.","_hardware_title":"GESP+POE-IN"}	5
hw-gpen11	GPEN11	Accessories	0						gpen11	gpen11	{"Product code":"GPEN11","Suggested price":"$14.00","MTBF":"Approximately 100'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"1 (DC jack)","DC jack input Voltage":"12-57 V","Cooling type":"Passive","PoE-out ports":"Ether2","PoE out":"Passive PoE","Low voltage PoE-Out current limit":"2 A","Max total out (A)":"2 A","10/100/1000 Ethernet ports":"2","Number of 1G Ethernet ports with PoE-out":"1","Certification":"CE, EAC, ROHS","_www_title":"GPEN11","_www_tagline":"A power injector that can be mounted on a wall","_hardware_title":"GPEN11"}	1
hw-gper	GPeR	Accessories	0						gper	gper	{"Product code":"GPeR","Suggested price":"$29.00","10/100/1000 Ethernet ports":"2","Low voltage PoE-Out current limit":"2 A","High voltage PoE-Out current limit":"0.7 A","PoE in":"802.3af/at","PoE in input Voltage":"24-57 V","PoE out":"802.3af/at","Tested ambient temperature":"-40°C to 70°C","_www_title":"GPeR","_www_tagline":"Gigabit Passive Ethernet Repeater","_hardware_title":"GPeR"}	1
hw-gperx4	GPeRx4	Accessories	0						gperx4	gperx4	{"Product code":"GPER14i","Suggested price":"$59.00","CPU nominal frequency":"200 MHz","Switch chip model":"88E6341","Storage size":"64 KB","Storage type":"FLASH","MTBF":"Approximately 100'000 hours at 25C","Tested ambient temperature":"-40°C to 70°C","Number of DC inputs":"2 (PoE-IN, 2-pin terminal)","2-pin terminal input Voltage":"24-57 V","Max power consumption":"115 W","Max power consumption without attachments":"4 W","PoE in":"802.3 bt","PoE in input Voltage":"48-57 V","PoE-out ports":"Ether2-Ether4","PoE out":"802.3af/at","Low voltage PoE-Out current limit":"0.7 A","High voltage PoE-Out current limit":"0.6 A","Max total out (A)":"2.0 A","10/100/1000 Ethernet ports":"4","Number of 1G Ethernet ports with PoE-out":"3","Certification":"CE, EAC, ROHS","IP":"68","_www_title":"GPeRx4","_www_tagline":"Effortlessly split a single high-power PoE port into multiple\r\nstandard PoE connections with the compact and durable GPeRx4.\r\nExpand, extend, and power your network with ease!","_hardware_title":"GPeRx4"}	2
