name	code	category	resolution	hw_url	www_url	needs_review	note
L11UG-5HaxD	L11UG-5HaxD	RouterBOARD	auto	https://manual.mikrotik.com/hardware/l11ug-5haxd	https://mikrotik.com/product/l11ug_5haxd		
L23UGSR-5HaxD2HaxD	L23UGSR-5HaxD2HaxD	RouterBOARD	auto	https://manual.mikrotik.com/hardware/l23ugsr-5haxd2haxd	https://mikrotik.com/product/l23ugsr_5haxd2haxd		
LAMP 5G R16	LAMPGM&RG520F-EU		no-hardware-page		https://mikrotik.com/product/lamp_5g_r16	no-hardware-page	www product lamp_5g_r16 exists; LAMP 5G R16 is missing from /hardware entirely.
LDF 5	RBLDF-5nD	Wireless systems	auto	https://manual.mikrotik.com/hardware/ldf-5-series	https://mikrotik.com/product/rbldf_5nd		
LHG 5	RBLHG-5nD	Wireless systems	auto	https://manual.mikrotik.com/hardware/lhg-series	https://mikrotik.com/product/RBLHG-5nD		
LHG 5 ax	LHG-5axD	Wireless systems	auto	https://manual.mikrotik.com/hardware/lhg-5axd	https://mikrotik.com/product/lhg_5_ax		
LHGG LTE7 kit	LHGGR&R11e-LTE7		no-hardware-page		https://mikrotik.com/product/lhgg_lte7	no-hardware-page	www product lhgg_lte7 exists (maintainer-confirmed 2026-07-11); LTE7-kit family systematically absent from /hardware (see LtAP LTE7 kit, SXT LTE7 kit).
LHG LTE18 kit	LHGGM&EG18-EA	LTE products	auto	https://manual.mikrotik.com/hardware/lhg-lte18-kit	https://mikrotik.com/product/lhg_lte18		
LHG XL 5 ac	RBLHGG-5acD-XL	Wireless systems	auto	https://manual.mikrotik.com/hardware/lhg-xl-5-ac	https://mikrotik.com/product/lhg_xl_5_ac		
LHG XL 5 ax	LHG-5axD-XL	Wireless systems	auto	https://manual.mikrotik.com/hardware/lhg-xl-5-ax	https://mikrotik.com/product/lhg_5_ax_xl		
LHG XL HP5	RBLHG-5HPnD-XL	Wireless systems	auto	https://manual.mikrotik.com/hardware/lhg-xl-hp5	https://mikrotik.com/product/RBLHG-5HPnD-XL		
LtAP LTE7 kit	LtAP-2HnD&R11e-LTE7r2		no-hardware-page		https://mikrotik.com/product/ltap_lte7_kit	no-hardware-page	www product ltap_lte7_kit exists (maintainer-confirmed 2026-07-11); LTE7-kit family absent from /hardware. The base /hardware/ltap page exists; the LTE7 kit SKU does not.
LtAP mini	RB912R-2nD-LTm	LTE products	auto	https://manual.mikrotik.com/hardware/ltap-mini	https://mikrotik.com/product/ltap_mini		
LtAP mini LTE kit	RB912R-2nD-LTm&EC200A-EUr3	LTE products	auto	https://manual.mikrotik.com/hardware/ltap-mini-kit-series	https://mikrotik.com/product/ltap_mini_lte_kit_2024		
mANTBox 2 12s	RB911G-2HPnD-12Sr2	Wireless systems	auto	https://manual.mikrotik.com/hardware/mantbox-series	https://mikrotik.com/product/mantbox_2_12s		
mANTBox ax 15s	L22UGS-5HaxD2HaxD-15S	Wireless systems	auto	https://manual.mikrotik.com/hardware/mantbox-ax-15s	https://mikrotik.com/product/mantbox_ax_15s		
mAP	RBmAP2nD	Indoor wireless	auto	https://manual.mikrotik.com/hardware/map	https://mikrotik.com/product/RBmAP2nD		
mAP lite	RBmAPL-2nD	Indoor wireless	auto	https://manual.mikrotik.com/hardware/map-lite	https://mikrotik.com/product/RBmAPL-2nD		
Metal 52 ac	RBMetalG-52SHPacn	Wireless systems	auto	https://manual.mikrotik.com/hardware/metal-52-ac	https://mikrotik.com/product/RBMetalG-52SHPacn		
NetBox 5 ax	L11UG-5HaxD-NB	Wireless systems	auto	https://manual.mikrotik.com/hardware/netbox-5-ax	https://mikrotik.com/product/netbox_5_ax		
netFiber 9	CRS310-1G-5S-4S+OUT	Switches	auto	https://manual.mikrotik.com/hardware/netfiber-9	https://mikrotik.com/product/netfiber_9		
NetMetal 5	RB922UAGS-5HPacD-NM	Wireless systems	auto	https://manual.mikrotik.com/hardware/netmetal-series	https://mikrotik.com/product/RB922UAGS-5HPacD-NM		
NetMetal ax	L23UGSR-5HaxD2HaxD-NM	Wireless systems	auto	https://manual.mikrotik.com/hardware/netmetal-ax	https://mikrotik.com/product/netmetal_ax		
netPower 15FR	CRS318-1Fi-15Fr-2S-OUT	Switches	auto	https://manual.mikrotik.com/hardware/netpower-15fr	https://mikrotik.com/product/crs318_1fi_15fr_2s_out		
netPower 16P	CRS318-16P-2S+OUT	Switches	auto	https://manual.mikrotik.com/hardware/netpower-16p	https://mikrotik.com/product/netpower_16p		
netPower Lite 7R	CSS610-1Gi-7R-2S+OUT	Switches	auto	https://manual.mikrotik.com/hardware/netpower-lite-7r	https://mikrotik.com/product/netpower_lite_7r		
netPower Lite 8P	CSS610-8P-2S+OUT	Switches	auto	https://manual.mikrotik.com/hardware/netpower-lite-8p	https://mikrotik.com/product/netpower_lite_ups		
OmniTIK 5 PoE ac	RBOmniTikPG-5HacD	Wireless systems	auto	https://manual.mikrotik.com/hardware/omnitik-series	https://mikrotik.com/product/rbomnitikpg_5hacd		
PowerBox Pro	RB960PGS-PB	Ethernet routers	auto	https://manual.mikrotik.com/hardware/powerbox-pro	https://mikrotik.com/product/RB960PGS-PB		
QRT 5	RB911G-5HPnD-QRT	Wireless systems	auto	https://manual.mikrotik.com/hardware/qrt-5	https://mikrotik.com/product/RB911G-5HPnD-QRT		
R11e-LTE7	R11e-LTE7		accessory		https://mikrotik.com/product/r11e_lte7	accessory	User-installable miniPCIe LTE CAT7 modem module; www product r11e_lte7, no /hardware page. Base module behind the &r11e-lte7 LTE7-series kits (LtAP/SXT/Chateau LTE7).
RB260GS	CSS106-5G-1S	Switches	auto	https://manual.mikrotik.com/hardware/rb260-series	https://mikrotik.com/product/RB260GS		
RB260GSP	CSS106-1G-4P-1S	Switches	auto	https://manual.mikrotik.com/hardware/rb260-series	https://mikrotik.com/product/RB260GSP		
RB450Gx4	RB450Gx4	RouterBOARD	auto	https://manual.mikrotik.com/hardware/rb450gx4	https://mikrotik.com/product/rb450gx4		
RB911G-5HPnD	RB911G-5HPnD	RouterBOARD	auto	https://manual.mikrotik.com/hardware/rb911-series	https://mikrotik.com/product/RB911G-5HPnD		
RB912UAG-2HPnD	RB912UAG-2HPnD	RouterBOARD	auto	https://manual.mikrotik.com/hardware/rb912uag-series	https://mikrotik.com/product/RB912UAG-2HPnD		
RB912UAG-5HPnD	RB912UAG-5HPnD	RouterBOARD	auto	https://manual.mikrotik.com/hardware/rb912uag-series	https://mikrotik.com/product/RB912UAG-5HPnD		
RB922UAGS-5HPacD	RB922UAGS-5HPacD	RouterBOARD	auto	https://manual.mikrotik.com/hardware/rb922uags-5hpacd	https://mikrotik.com/product/RB922UAGS-5HPacD		
RB951Ui-2HnD	RB951Ui-2HnD	Indoor wireless	auto	https://manual.mikrotik.com/hardware/rb951-series	https://mikrotik.com/product/RB951Ui-2HnD		
RB1100AHx4	RB1100x4	Ethernet routers	auto	https://manual.mikrotik.com/hardware/rb1100-series	https://mikrotik.com/product/rb1100ahx4		
RB1100AHx4 Dude Edition	RB1100Dx4	Ethernet routers	auto	https://manual.mikrotik.com/hardware/rb1100-series	https://mikrotik.com/product/RB1100Dx4		
RB4011iGS+5HacQ2HnD-IN	RB4011iGS+5HacQ2HnD-IN	Indoor wireless	auto	https://manual.mikrotik.com/hardware/rb4011igs-plus-5hacq2hnd-in	https://mikrotik.com/product/rb4011igs_5hacq2hnd_in		
RB4011iGS+RM	RB4011iGS+RM	Ethernet routers	auto	https://manual.mikrotik.com/hardware/rb4011igs-plus-rm	https://mikrotik.com/product/rb4011igs_rm		
RB5009UG+S+IN	RB5009UG+S+IN	Ethernet routers	auto	https://manual.mikrotik.com/hardware/rb5009ug-plus-s-plus-in	https://mikrotik.com/product/rb5009ug_s_in		
RB5009UPr+S+IN	RB5009UPr+S+IN	Ethernet routers	auto	https://manual.mikrotik.com/hardware/rb5009upr-plus-s-plus-in	https://mikrotik.com/product/rb5009upr_s_in		
RB5009UPr+S+OUT	RB5009UPr+S+OUT	Ethernet routers	auto	https://manual.mikrotik.com/hardware/rb5009upr-plus-s-plus-out	https://mikrotik.com/product/rb5009_out		
RBM33G	RBM33G	RouterBOARD	auto	https://manual.mikrotik.com/hardware/rbm33g	https://mikrotik.com/product/rbm33g		
ROSE Data server (RDS)	RDS2216-2XG-4S+4XS-2XQ		curated-alias	https://manual.mikrotik.com/hardware/rose-data-server	https://mikrotik.com/product/rds2216		Marketing name; matrix code RDS2216-2XG-4S+4XS-2XQ, www product rds2216.
SXT LTE7 kit	SXTR&R11e-LTE7r3	LTE products	auto	https://manual.mikrotik.com/hardware/sxt-r	https://mikrotik.com/product/sxt_r		
SXT SA5 ac	RBSXTG-5HPacD-SAr2	Wireless systems	auto	https://manual.mikrotik.com/hardware/sxtsa-series	https://mikrotik.com/product/RBSXTG-5HPacD-SAr2		
SXTsq 5 ac	RBSXTsqG-5acDr2	Wireless systems	auto	https://manual.mikrotik.com/hardware/sxtsq-series	https://mikrotik.com/product/sxtsq_5_ac		
SXTsq 5 ax	SXTsq-5axD	Wireless systems	curated-alias	https://manual.mikrotik.com/hardware/sxtsq-5axd	https://mikrotik.com/product/sxtsq_5ax		Both pages exist under a slug the matcher can't reach: /hardware/sxtsq-5axd + mikrotik.com/product/sxtsq_5ax (maintainer-confirmed 2026-07-11). The page links only the bogus qm_x, and the www slug drops the trailing 'd', so neither auto-resolves the www side.
SXTsq Embedded LTE4	EC25-EU&SXTsq	LTE products	auto	https://manual.mikrotik.com/hardware/sxtsq-embedded-lte4	https://mikrotik.com/product/sxtsq_emb_lte4		
SXTsq Embedded LTE4 Global	EG25-G&SXTsq		no-hardware-page		https://mikrotik.com/product/sxtsq_emb_lte4_global	no-hardware-page	www product sxtsq_emb_lte4_global exists; the Global embedded-LTE4 SKU is absent from /hardware (the non-Global SXTsq Embedded LTE4 does have a page).
SXTsq Lite2	RBSXTsq2nD	Wireless systems	auto	https://manual.mikrotik.com/hardware/sxtsq-series	https://mikrotik.com/product/sxtsq_lite2		
SXTsq Lite5	RBSXTsq5nD	Wireless systems	auto	https://manual.mikrotik.com/hardware/sxtsq-series	https://mikrotik.com/product/RBSXTsq5nD		
wAP ax	wAPG-5HaxD2HaxD	Indoor wireless	auto	https://manual.mikrotik.com/hardware/wap-ax	https://mikrotik.com/product/wap_ax		
wAP ax LTE7 kit	wAPGR-5HaxD2HaxD&R11e-LTE7	LTE products	auto	https://manual.mikrotik.com/hardware/wap-ax-lte7-kit	https://mikrotik.com/product/wap_ax_lte7		
wAP LR2 kit	RBwAPR-2nD&R11e-LR2	IoT products	auto	https://manual.mikrotik.com/hardware/r11e-lr2	https://mikrotik.com/product/RBwAPR-2nD		
wAP LR8G kit	RBwAPR-2nD&R11e-LR8G	IoT products	auto	https://manual.mikrotik.com/hardware/wap-lr8g-kit	https://mikrotik.com/product/RBwAPR-2nD		
wAP LR9G kit	RBwAPR-2nD&R11e-LR9G	IoT products	auto	https://manual.mikrotik.com/hardware/wap-lr9g-kit	https://mikrotik.com/product/RBwAPR-2nD		
